Resource;Author
1920x1080 Loading Screen;Softmints 
Anduin Lothar;Tauer 
Gul'dan;Tauer 
Zul'jin;Tauer 
BladeStorm;JetFangInferno 
Python Warriores without Crawling animations;Tarrasque 
Deadeye;Tarrasque 
Drillmo(By Callahan);Callahan 
Fatal Wound;cotd333 
Fear Effect;stan0033 
Fish;MiniMage 
GreatElderHydraAcidSpewV.153;kellym0 
HeroGlow;assasin_lord 
HydraCorrosiveGroundEffectV054;kellym0 
Icecrown Seer;-Grendel 
InfernalWheeledWarrior;Freddyk 
Mur'gul Warlock;Direfury, KILLCIDE 
Sea Druid;Freddyk 
